observed_Vp,observed_Vs,observed_rho,observed_phi,GD1_Vp,GD1_Vs,GD1_rho,GD1_phi,GD_Vp,GD_Vs,GD_rho,GD_phi
3824.242135,2110.14069,2391.424989,0.120263672,3735.342783,2081.066441,2363.35969,0.131632689,3763.507345,2123.449042,2392.982839,0.136195603
3540.295401,2056.026224,2405.589765,0.138349953,3700.990219,1905.845603,2358.59114,0.109013186,3537.925416,1998.046284,2431.594182,0.150133394
3498.3648,1972.269326,2358.882297,0.163650933,3474.629578,1981.925482,2380.570432,0.164484612,3449.585997,1937.78609,2355.353729,0.168589805
5551.954778,2553.155011,2602.641282,0.031737282,5408.66136,2704.920219,2653.041983,0.038432256,5653.971481,2645.740311,2616.707427,0.027942336
5823.118435,2845.889104,2644.406935,0.022534212,6045.303486,2879.222118,2654.893424,0.016323942,5594.755225,3054.429841,2652.602934,0.026171407
4675.486886,2577.658492,2523.012473,0.099408003,4443.867463,2695.74073,2491.091623,0.080671051,4965.042341,2829.165936,2505.278607,0.083225595
7276.359728,3954.982229,2693.976397,0.000411536,7202.291554,3827.921489,2650.469488,0.025626086,7375.763326,4009.562723,2678.901284,-0.001675524
3508.406168,2135.035294,2422.696722,0.143767169,3705.275063,1909.041419,2383.898026,0.106054423,3497.683514,2098.040874,2432.309245,0.144379911
3589.623793,1970.071817,2374.362697,0.145098792,3428.171473,1966.313668,2358.904769,0.16972351,3480.567074,1932.677082,2359.712104,0.159060726
5528.590033,2553.368366,2610.115619,0.03080942,5352.914008,2726.268805,2642.200432,0.041770524,5554.591342,2650.143334,2613.359295,0.038289844
5768.985192,3014.582512,2681.574654,0.022685376,6321.976924,3127.091081,2652.531374,0.006217039,6057.20642,3219.598541,2667.468422,0.019106267
4632.398737,2321.444139,2487.998557,0.088475476,4202.042477,2819.746757,2488.38694,0.092007625,4535.751879,2475.353212,2476.800345,0.081510018
7316.916156,3910.201579,2700.251905,0.004630556,7289.321714,3902.211508,2644.808753,0.01726484,7341.901367,3896.782303,2658.837951,0.0066887
3540.123205,2169.615863,2410.478446,0.144974681,3621.032908,1795.930792,2389.227232,0.126678239,3444.587439,2152.370377,2418.915599,0.153014107
3571.878729,1950.360138,2385.127944,0.151540518,3449.179788,1952.581519,2367.273888,0.167537708,3540.016347,1866.829913,2361.191034,0.156424616
5424.663673,2636.781419,2605.806931,0.039401231,5351.805498,2754.632615,2635.06451,0.028230522,5535.175767,2641.15164,2612.397851,0.024258636
5851.248247,2906.401826,2661.224291,0.018600877,6241.177789,2971.593411,2653.763903,0.00939465,6131.020849,3060.255993,2676.652802,0.012772902
4546.791843,2589.530254,2499.346716,0.087846558,4366.594116,2784.192283,2529.009438,0.097576954,4645.146987,2804.381243,2474.446319,0.094712125
7454.60164,3900.79653,2674.001132,0.00475443,7380.114252,3893.862928,2654.027672,0.018086965,7387.434124,3856.668022,2633.104722,0.007880203
3482.825197,1969.664814,2385.503759,0.150966527,3635.984418,1917.810795,2408.020122,0.132143512,3464.901749,1962.287083,2398.774261,0.150316002
3602.848102,1940.503616,2385.769143,0.155761784,3469.648267,1911.302948,2365.183563,0.153857118,3505.954257,1852.873825,2360.858581,0.162599615
5333.556107,2719.806705,2596.713132,0.044444058,5245.072072,2690.560636,2619.420886,0.040647887,5408.190308,2650.991239,2596.879174,0.027966992
5964.191756,2865.743943,2659.420519,0.016907148,6271.628296,3085.634499,2673.395535,0.010246281,6475.811114,2983.338577,2659.116361,0.007122612
4370.233534,2923.46232,2511.002214,0.111062891,4783.139,2420.231257,2514.683483,0.070961835,4514.921297,2543.824666,2458.840903,0.103190331
7280.949654,3841.569356,2659.246731,0.007047576,7407.067472,3804.060292,2655.375791,0.013055954,7322.429115,3820.293626,2646.267596,0.00537728
3424.134559,1948.900535,2376.859827,0.15276043,3532.481276,1959.561448,2403.665138,0.135348945,3469.15898,1941.139754,2382.343163,0.152127999
3498.255237,2047.002681,2395.761823,0.151501918,3422.96367,1924.018432,2366.383551,0.154901829,3470.116505,1969.386397,2380.582969,0.158888875
5082.576061,2617.913655,2573.957678,0.056466044,5013.885387,2593.725668,2591.923798,0.04826854,5281.822428,2645.380496,2589.908873,0.040649296
5826.729234,2849.221369,2657.947451,0.021580907,6059.106869,3006.455273,2662.119649,0.01468966,6526.636131,2982.889366,2678.050128,0.009517307
4544.005452,2664.32753,2517.793937,0.098124413,4614.844094,2748.328055,2518.429765,0.070134632,4625.156769,2677.156876,2528.467606,0.109917086
7286.589522,3879.985989,2652.457059,0.007316392,7373.303462,3733.737633,2655.01729,0.009489949,7338.415091,3785.053505,2610.574701,0.015550673
3488.886044,1883.847145,2372.811163,0.145099351,3531.407159,1871.253963,2402.789,0.142639922,3556.423047,1870.753244,2374.185222,0.148387673
3525.846256,2019.80173,2385.152415,0.14819781,3495.879392,1897.933896,2375.481456,0.153922714,3476.436881,2011.292079,2385.631381,0.149915615
5082.716729,2592.274197,2573.425829,0.050518438,5107.821837,2600.578114,2587.883734,0.046560167,5197.593062,2553.163899,2597.049315,0.048864717
6003.528125,3060.429333,2685.482662,0.025565947,5801.249323,3189.047765,2681.900266,0.030266118,6202.743289,3139.011358,2692.323966,0.010874908
4693.550677,2813.295004,2492.286585,0.087609722,5063.234006,2660.095372,2510.87977,0.06451476,4990.195334,2479.946701,2483.254161,0.077458197
7291.469235,3864.820155,2656.425981,0.009999297,7343.962306,3719.482304,2659.812248,0.015426127,7301.615484,3764.763429,2621.206875,0.010310695
3412.866487,1902.645098,2382.412443,0.156810084,3605.548768,1923.426133,2385.09954,0.130666455,3471.433291,1831.561489,2376.477661,0.155196289
3607.539854,2115.363241,2405.740734,0.142127538,3466.022493,1895.152845,2378.044052,0.152473008,3609.559501,2075.55947,2386.4161,0.14192877
4960.324149,2592.453978,2581.51043,0.04582187,4906.161639,2575.975946,2569.423827,0.050093053,5058.764574,2611.245725,2584.665854,0.041182137
6177.317696,3041.389901,2691.342757,0.013399998,6025.180129,3239.569989,2680.289334,0.020838553,6308.566553,3219.393636,2692.110369,0.006774773
4428.753856,2684.769537,2507.631635,0.073656269,4750.826694,2821.757946,2576.862418,0.062455066,4659.451156,2528.322868,2511.362842,0.076774638
7265.024132,3870.864481,2667.0715,0.01002774,7298.633286,3707.60093,2658.45473,0.011576978,7303.30737,3809.287654,2635.24616,0.015282973
3426.218945,1842.035074,2375.016264,0.149974826,3580.420537,1808.365949,2390.386012,0.138224136,3448.849299,1759.291489,2358.719341,0.155992621
3553.729411,2119.284617,2404.066068,0.146735519,3490.971331,1940.108811,2376.05233,0.149781339,3571.84288,2027.891627,2386.900327,0.143769095
4810.052633,2588.100137,2567.36365,0.068161636,4803.537546,2556.915462,2575.018209,0.065440007,4879.869088,2514.79353,2566.265446,0.054697353
6385.055094,3152.1337,2691.118564,0.011180458,6156.550855,3060.441174,2669.82863,0.021554422,6411.190111,3392.22334,2705.925476,0.012279206
4280.641031,2359.884477,2490.203058,0.074396213,4719.375036,2701.944962,2548.046692,0.073064239,4753.269879,2558.025187,2499.61299,0.076728922
7206.587232,3805.66666,2662.987818,0.018313997,7263.568001,3712.89161,2667.854528,0.002643367,7198.034553,3724.694499,2633.907142,0.02704612
3385.968358,1885.819114,2359.105012,0.149376969,3495.648901,1837.197158,2378.458443,0.148771228,3367.740312,1784.39056,2350.299607,0.157577491
3605.498805,2074.701501,2391.010116,0.150733046,3438.193493,1927.803072,2381.384874,0.146073457,3591.188296,2011.5404,2386.548932,0.151607694
4686.948125,2474.267958,2548.567596,0.070810594,4655.719965,2456.65861,2546.139453,0.069687475,4816.632104,2469.862393,2541.297296,0.066285679
5993.157666,3346.189457,2690.732276,0.019996985,6123.10242,3094.202506,2670.957758,0.017707112,6205.150679,3343.057067,2701.653369,0.014614664
4413.993149,2640.234345,2517.591826,0.049337267,4876.550934,2819.631514,2521.247139,0.065773467,4377.061315,2657.201695,2530.956294,0.075142303
7238.254296,3880.384285,2695.91927,0.018085731,7139.406487,3683.159753,2654.080696,0.008580314,7194.055114,3697.828573,2645.794887,0.024398527
3425.491202,1848.214046,2366.858776,0.148930815,3501.069017,1823.751773,2375.967854,0.158549458,3388.283766,1847.901546,2375.662332,0.153432636
3662.706841,2060.257688,2390.187634,0.144289854,3456.642482,1968.392247,2382.668232,0.149156763,3564.597263,2046.182548,2401.289679,0.152071746
4471.857945,2357.842027,2510.387578,0.080640564,4346.409502,2478.707491,2542.720209,0.093861085,4642.590354,2412.674554,2521.505973,0.070118665
6069.586551,3483.432085,2715.785103,0.022021014,6361.897438,3221.899477,2685.669166,0.012906137,6063.838644,3483.824273,2702.529784,0.010227431
4332.072653,2534.459103,2527.322761,0.085535751,4706.350021,2548.190492,2510.439528,0.04137578,4409.026074,2601.700631,2526.2843,0.082074802
7205.844069,3673.447776,2674.587466,0.011409935,7136.967758,3618.436564,2636.745206,0.014447786,7279.532237,3556.989962,2646.523722,0.011875058
3486.999982,1855.274187,2371.438647,0.157435131,3568.940842,1948.433212,2395.320799,0.139170785,3519.293636,1899.148263,2366.022512,0.156983696
3589.845782,2056.113353,2394.456001,0.14674419,3429.791566,2046.687485,2393.44249,0.160299286,3573.034547,2090.004066,2412.852053,0.153574708
4228.671351,2331.104595,2505.664874,0.101175323,4077.541011,2354.944423,2525.17577,0.114230877,4422.764767,2321.008803,2500.684719,0.078110883
6065.6116,3358.065581,2703.281827,0.025651043,6650.504992,3300.910291,2678.960656,0.002545517,6196.044718,3234.404566,2681.830983,0.016038789
4728.600288,3014.206402,2568.789846,0.048325332,4558.214521,2212.764147,2511.758451,0.046529295,4706.124293,2686.022293,2544.958475,0.049764232
7139.075828,3601.948695,2667.90215,0.009174954,7074.886769,3617.217589,2638.944427,0.010746877,7181.972913,3564.01176,2656.370681,0.002457277
3496.656486,1874.280764,2375.34984,0.160335695,3561.86472,1858.191694,2398.876263,0.136806643,3546.454341,1864.833117,2384.913836,0.156782218
3612.313617,2073.83463,2408.476316,0.143445391,3483.270932,2065.171949,2381.899994,0.152626678,3550.090726,2058.714996,2415.650459,0.150678563
4044.757933,2240.113541,2482.767249,0.108508837,3853.974489,2206.421671,2511.351179,0.129042158,4227.160095,2229.267168,2486.943859,0.091766079
6285.063172,3145.502036,2675.295297,0.014281264,6392.727664,3461.647103,2690.322699,0.014991284,6338.052971,3139.646368,2666.137051,0.011410447
4681.300245,2327.628334,2567.866799,0.056563478,4371.691471,2082.420204,2540.212948,0.06702774,4480.396674,2007.935034,2564.094329,0.042578224
7190.310773,3530.653566,2652.233902,0.000471064,7113.637091,3547.744019,2623.42016,0.006983889,7277.893702,3495.093154,2642.491614,-0.005142886
